Year,Quarter,Date,Ticker
2015,1,2015-03-31,MTB
2015,1,2015-03-31,MU
2015,1,2015-03-31,MUR
2015,1,2015-03-31,MWV
2015,1,2015-03-31,MYL
2015,1,2015-03-31,NAVI
2015,1,2015-03-31,NBL
2015,1,2015-03-31,NDAQ
2015,1,2015-03-31,NE
2015,1,2015-03-31,NEE
2015,1,2015-03-31,NEM
2015,1,2015-03-31,NFLX
2015,1,2015-03-31,NFX
2015,1,2015-03-31,NI
2015,1,2015-03-31,NKE
2015,1,2015-03-31,NLSN
2015,1,2015-03-31,NOC
2015,1,2015-03-31,NOV
2015,1,2015-03-31,NRG
2015,1,2015-03-31,NSC
2015,1,2015-03-31,NTAP
2015,1,2015-03-31,NTRS
2015,1,2015-03-31,NUE
2015,1,2015-03-31,NVDA
2015,1,2015-03-31,NWL
2015,1,2015-03-31,NWSA
2015,1,2015-03-31,OI
2015,1,2015-03-31,OKE
2015,1,2015-03-31,OMC
2015,1,2015-03-31,ORCL
2015,1,2015-03-31,ORLY
2015,1,2015-03-31,OXY
2015,1,2015-03-31,PAYX
2015,1,2015-03-31,PBCT
2015,1,2015-03-31,PBI
2015,1,2015-03-31,PCAR
2015,1,2015-03-31,PCG
2015,1,2015-03-31,PCL
2015,1,2015-03-31,PCP
2015,1,2015-03-31,PDCO
2015,1,2015-03-31,PEG
2015,1,2015-03-31,PEP
2015,1,2015-03-31,PFE
2015,1,2015-03-31,PFG
2015,1,2015-03-31,PG
2015,1,2015-03-31,PGR
2015,1,2015-03-31,PH
2015,1,2015-03-31,PHM
2015,1,2015-03-31,PKI
2015,1,2015-03-31,PLD
2015,1,2015-03-31,PLL
2015,1,2015-03-31,PM
2015,1,2015-03-31,PNC
2015,1,2015-03-31,PNR
2015,1,2015-03-31,PNW
2015,1,2015-03-31,POM
2015,1,2015-03-31,PPG
2015,1,2015-03-31,PPL
2015,1,2015-03-31,PRGO
2015,1,2015-03-31,PRU
2015,1,2015-03-31,PSA
2015,1,2015-03-31,PSX
2015,1,2015-03-31,PVH
2015,1,2015-03-31,PWR
2015,1,2015-03-31,PX
2015,1,2015-03-31,PXD
2015,1,2015-03-31,QCOM
2015,1,2015-03-31,QEP
2015,1,2015-03-31,R
2015,1,2015-03-31,RAI
2015,1,2015-03-31,RCL
2015,1,2015-03-31,REGN
2015,1,2015-03-31,RF
2015,1,2015-03-31,RHI
2015,1,2015-03-31,RHT
2015,1,2015-03-31,RIG
2015,1,2015-03-31,RL
2015,1,2015-03-31,ROK
2015,1,2015-03-31,ROP
2015,1,2015-03-31,ROST
2015,1,2015-03-31,RRC
2015,1,2015-03-31,RSG
2015,1,2015-03-31,RTN
2015,1,2015-03-31,SBUX
2015,1,2015-03-31,SCG
2015,1,2015-03-31,SCHW
2015,1,2015-03-31,SE
2015,1,2015-03-31,SEE
2015,1,2015-03-31,SHW
2015,1,2015-03-31,SIAL
2015,1,2015-03-31,SJM
2015,1,2015-03-31,SLB
2015,1,2015-03-31,SLG
2015,1,2015-03-31,SNA
2015,1,2015-03-31,SNDK
2015,1,2015-03-31,SNI
2015,1,2015-03-31,SO
2015,1,2015-03-31,SPG
2015,1,2015-03-31,SPGI
2015,1,2015-03-31,SPLS
2015,1,2015-03-31,SRCL
2015,1,2015-03-31,SRE
2015,1,2015-03-31,STI
2015,1,2015-03-31,STJ
2015,1,2015-03-31,STT
2015,1,2015-03-31,STX
2015,1,2015-03-31,STZ
2015,1,2015-03-31,SWK
2015,1,2015-03-31,SWKS
2015,1,2015-03-31,SWN
2015,1,2015-03-31,SYK
2015,1,2015-03-31,SYMC
2015,1,2015-03-31,SYY
2015,1,2015-03-31,T
2015,1,2015-03-31,TAP
2015,1,2015-03-31,TDC
2015,1,2015-03-31,TE
2015,1,2015-03-31,TEG
2015,1,2015-03-31,TEL
2015,1,2015-03-31,TGNA
2015,1,2015-03-31,TGT
2015,1,2015-03-31,THC
2015,1,2015-03-31,TIF
2015,1,2015-03-31,TJX
2015,1,2015-03-31,TMK
2015,1,2015-03-31,TMO
2015,1,2015-03-31,TPR
2015,1,2015-03-31,TRIP
2015,1,2015-03-31,TROW
2015,1,2015-03-31,TRV
2015,1,2015-03-31,TSCO
2015,1,2015-03-31,TSN
2015,1,2015-03-31,TSS
2015,1,2015-03-31,TWC
2015,1,2015-03-31,TWX
2015,1,2015-03-31,TXN
2015,1,2015-03-31,TXT
2015,1,2015-03-31,UAA
2015,1,2015-03-31,UHS
2015,1,2015-03-31,UNH
2015,1,2015-03-31,UNM
2015,1,2015-03-31,UNP
2015,1,2015-03-31,UPS
2015,1,2015-03-31,URBN
2015,1,2015-03-31,URI
2015,1,2015-03-31,USB
2015,1,2015-03-31,UTX
2015,1,2015-03-31,V
2015,1,2015-03-31,VAR
2015,1,2015-03-31,VFC
2015,1,2015-03-31,VIAB
2015,1,2015-03-31,VLO
2015,1,2015-03-31,VMC
2015,1,2015-03-31,VNO
2015,1,2015-03-31,VRSN
2015,1,2015-03-31,VRTX
2015,1,2015-03-31,VTR
2015,1,2015-03-31,VZ
2015,1,2015-03-31,WAT
2015,1,2015-03-31,WBA
2015,1,2015-03-31,WDC
2015,1,2015-03-31,WEC
2015,1,2015-03-31,WELL
2015,1,2015-03-31,WFC
2015,1,2015-03-31,WFM
2015,1,2015-03-31,WHR
2015,1,2015-03-31,WIN
2015,1,2015-03-31,WM
2015,1,2015-03-31,WMB
2015,1,2015-03-31,WMT
2015,1,2015-03-31,WU
2015,1,2015-03-31,WY
2015,1,2015-03-31,WYND
2015,1,2015-03-31,WYNN
2015,1,2015-03-31,XEC
2015,1,2015-03-31,XEL
2015,1,2015-03-31,XL
2015,1,2015-03-31,XLNX
2015,1,2015-03-31,XOM
2015,1,2015-03-31,XRAY
2015,1,2015-03-31,XRX
2015,1,2015-03-31,XYL
2015,1,2015-03-31,YUM
2015,1,2015-03-31,ZBH
2015,1,2015-03-31,ZION
2015,1,2015-03-31,ZTS
2015,2,2015-06-30,A
2015,2,2015-06-30,AABA
2015,2,2015-06-30,AAL
2015,2,2015-06-30,AAPL
2015,2,2015-06-30,ABBV
2015,2,2015-06-30,ABC
2015,2,2015-06-30,ABT
2015,2,2015-06-30,ACN
2015,2,2015-06-30,ADBE
2015,2,2015-06-30,ADI
2015,2,2015-06-30,ADM
2015,2,2015-06-30,ADP
2015,2,2015-06-30,ADS
2015,2,2015-06-30,ADSK
2015,2,2015-06-30,ADT
2015,2,2015-06-30,AEE
2015,2,2015-06-30,AEP
2015,2,2015-06-30,AES
2015,2,2015-06-30,AET
2015,2,2015-06-30,AFL
2015,2,2015-06-30,AGN
2015,2,2015-06-30,AIG
2015,2,2015-06-30,AIV
2015,2,2015-06-30,AIZ
2015,2,2015-06-30,AKAM
2015,2,2015-06-30,ALL
2015,2,2015-06-30,ALLE
2015,2,2015-06-30,ALTR
2015,2,2015-06-30,ALXN
2015,2,2015-06-30,AMAT
2015,2,2015-06-30,AME
2015,2,2015-06-30,AMG
2015,2,2015-06-30,AMGN
2015,2,2015-06-30,AMP
2015,2,2015-06-30,AMT
2015,2,2015-06-30,AMZN
2015,2,2015-06-30,AN
2015,2,2015-06-30,ANDV
2015,2,2015-06-30,ANTM
2015,2,2015-06-30,AON
2015,2,2015-06-30,APA
2015,2,2015-06-30,APC
2015,2,2015-06-30,APD
2015,2,2015-06-30,APH
2015,2,2015-06-30,APTV
2015,2,2015-06-30,ARG
2015,2,2015-06-30,ARNC
2015,2,2015-06-30,ATI
2015,2,2015-06-30,AVB
2015,2,2015-06-30,AVGO
2015,2,2015-06-30,AVY
2015,2,2015-06-30,AXP
2015,2,2015-06-30,AZO
2015,2,2015-06-30,BA
2015,2,2015-06-30,BAC
2015,2,2015-06-30,BAX
2015,2,2015-06-30,BBBY
2015,2,2015-06-30,BBT
2015,2,2015-06-30,BBY
2015,2,2015-06-30,BCR
2015,2,2015-06-30,BDX
2015,2,2015-06-30,BEN
2015,2,2015-06-30,BF.B
2015,2,2015-06-30,BHGE
2015,2,2015-06-30,BIIB
2015,2,2015-06-30,BK
2015,2,2015-06-30,BKNG
2015,2,2015-06-30,BLK
2015,2,2015-06-30,BLL
2015,2,2015-06-30,BMY
2015,2,2015-06-30,BRCM
2015,2,2015-06-30,BRK.B
2015,2,2015-06-30,BSX
2015,2,2015-06-30,BWA
2015,2,2015-06-30,BXP
2015,2,2015-06-30,C
2015,2,2015-06-30,CA
2015,2,2015-06-30,CAG
2015,2,2015-06-30,CAH
2015,2,2015-06-30,CAM
2015,2,2015-06-30,CAT
2015,2,2015-06-30,CB
2015,2,2015-06-30,CBRE
2015,2,2015-06-30,CBS
2015,2,2015-06-30,CCE
2015,2,2015-06-30,CCI
2015,2,2015-06-30,CCL
2015,2,2015-06-30,CELG
2015,2,2015-06-30,CERN
2015,2,2015-06-30,CF
2015,2,2015-06-30,CHK
2015,2,2015-06-30,CHRW
2015,2,2015-06-30,CI
2015,2,2015-06-30,CINF
2015,2,2015-06-30,CL
2015,2,2015-06-30,CLX
2015,2,2015-06-30,CMA
2015,2,2015-06-30,CMCSA
2015,2,2015-06-30,CME
2015,2,2015-06-30,CMG
2015,2,2015-06-30,CMI
2015,2,2015-06-30,CMS
2015,2,2015-06-30,CNP
2015,2,2015-06-30,CNX
2015,2,2015-06-30,COF
2015,2,2015-06-30,COG
2015,2,2015-06-30,COL
2015,2,2015-06-30,COP
2015,2,2015-06-30,COST
2015,2,2015-06-30,CPB
2015,2,2015-06-30,CRM
2015,2,2015-06-30,CSCO
2015,2,2015-06-30,CSX
2015,2,2015-06-30,CTAS
2015,2,2015-06-30,CTL
2015,2,2015-06-30,CTSH
2015,2,2015-06-30,CTXS
2015,2,2015-06-30,CVC
2015,2,2015-06-30,CVS
2015,2,2015-06-30,CVX
2015,2,2015-06-30,D
2015,2,2015-06-30,DAL
2015,2,2015-06-30,DD
2015,2,2015-06-30,DE
2015,2,2015-06-30,DFS
2015,2,2015-06-30,DG
2015,2,2015-06-30,DGX
2015,2,2015-06-30,DHI
2015,2,2015-06-30,DHR
2015,2,2015-06-30,DIS
2015,2,2015-06-30,DISCA
2015,2,2015-06-30,DISCK
2015,2,2015-06-30,DLTR
2015,2,2015-06-30,DNB
2015,2,2015-06-30,DO
2015,2,2015-06-30,DOV
2015,2,2015-06-30,DOW
2015,2,2015-06-30,DRI
2015,2,2015-06-30,DTE
2015,2,2015-06-30,DTV
2015,2,2015-06-30,DUK
2015,2,2015-06-30,DVA
2015,2,2015-06-30,DVN
2015,2,2015-06-30,DXC
2015,2,2015-06-30,EA
2015,2,2015-06-30,EBAY
2015,2,2015-06-30,ECL
2015,2,2015-06-30,ED
2015,2,2015-06-30,EFX
2015,2,2015-06-30,EIX
2015,2,2015-06-30,EL
2015,2,2015-06-30,EMC
2015,2,2015-06-30,EMN
2015,2,2015-06-30,EMR
2015,2,2015-06-30,ENDP
2015,2,2015-06-30,EOG
2015,2,2015-06-30,EQIX
2015,2,2015-06-30,EQR
2015,2,2015-06-30,EQT
2015,2,2015-06-30,ES
2015,2,2015-06-30,ESRX
2015,2,2015-06-30,ESS
2015,2,2015-06-30,ESV
2015,2,2015-06-30,ETFC
2015,2,2015-06-30,ETN
2015,2,2015-06-30,ETR
2015,2,2015-06-30,EW
2015,2,2015-06-30,EXC
2015,2,2015-06-30,EXPD
2015,2,2015-06-30,EXPE
2015,2,2015-06-30,F
2015,2,2015-06-30,FAST
2015,2,2015-06-30,FB
2015,2,2015-06-30,FCX
2015,2,2015-06-30,FDO
2015,2,2015-06-30,FDX
2015,2,2015-06-30,FE
2015,2,2015-06-30,FFIV
2015,2,2015-06-30,FIS
2015,2,2015-06-30,FISV
2015,2,2015-06-30,FITB
2015,2,2015-06-30,FLIR
2015,2,2015-06-30,FLR
2015,2,2015-06-30,FLS
2015,2,2015-06-30,FMC
2015,2,2015-06-30,FOSL
2015,2,2015-06-30,FOXA
2015,2,2015-06-30,FSLR
2015,2,2015-06-30,FTI
2015,2,2015-06-30,FTR
2015,2,2015-06-30,GAS
2015,2,2015-06-30,GD
2015,2,2015-06-30,GE
2015,2,2015-06-30,GGP
2015,2,2015-06-30,GILD
2015,2,2015-06-30,GIS
2015,2,2015-06-30,GLW
2015,2,2015-06-30,GM
2015,2,2015-06-30,GMCR
2015,2,2015-06-30,GME
2015,2,2015-06-30,GNW
2015,2,2015-06-30,GOOG
2015,2,2015-06-30,GOOGL
2015,2,2015-06-30,GPC
2015,2,2015-06-30,GPS
2015,2,2015-06-30,GRMN
2015,2,2015-06-30,GS
2015,2,2015-06-30,GT
2015,2,2015-06-30,GWW
2015,2,2015-06-30,HAL
2015,2,2015-06-30,HAR
2015,2,2015-06-30,HAS
2015,2,2015-06-30,HBAN
2015,2,2015-06-30,HBI
2015,2,2015-06-30,HCA
2015,2,2015-06-30,HCBK
2015,2,2015-06-30,HCP
2015,2,2015-06-30,HD
2015,2,2015-06-30,HES
2015,2,2015-06-30,HIG
2015,2,2015-06-30,HOG
2015,2,2015-06-30,HON
2015,2,2015-06-30,HOT
2015,2,2015-06-30,HP
2015,2,2015-06-30,HPQ
2015,2,2015-06-30,HRB
2015,2,2015-06-30,HRL
2015,2,2015-06-30,HRS
2015,2,2015-06-30,HSIC
2015,2,2015-06-30,HSP
2015,2,2015-06-30,HST
2015,2,2015-06-30,HSY
2015,2,2015-06-30,HUM
2015,2,2015-06-30,IBM
2015,2,2015-06-30,ICE
2015,2,2015-06-30,IFF
2015,2,2015-06-30,INTC
2015,2,2015-06-30,INTU
2015,2,2015-06-30,IP
2015,2,2015-06-30,IPG
2015,2,2015-06-30,IR
2015,2,2015-06-30,IRM
2015,2,2015-06-30,ISRG
2015,2,2015-06-30,ITW
2015,2,2015-06-30,IVZ
2015,2,2015-06-30,JCI
2015,2,2015-06-30,JEC
2015,2,2015-06-30,JEF
2015,2,2015-06-30,JNJ
2015,2,2015-06-30,JNPR
2015,2,2015-06-30,JOY
2015,2,2015-06-30,JPM
2015,2,2015-06-30,JWN
2015,2,2015-06-30,K
2015,2,2015-06-30,KDP
2015,2,2015-06-30,KEY
2015,2,2015-06-30,KIM
2015,2,2015-06-30,KLAC
2015,2,2015-06-30,KMB
2015,2,2015-06-30,KMI
2015,2,2015-06-30,KMX
2015,2,2015-06-30,KO
2015,2,2015-06-30,KORS
2015,2,2015-06-30,KR
2015,2,2015-06-30,KRFT
2015,2,2015-06-30,KSS
2015,2,2015-06-30,KSU
2015,2,2015-06-30,L
2015,2,2015-06-30,LB
2015,2,2015-06-30,LEG
2015,2,2015-06-30,LEN
2015,2,2015-06-30,LH
2015,2,2015-06-30,LLL
2015,2,2015-06-30,LLTC
2015,2,2015-06-30,LLY
2015,2,2015-06-30,LM
2015,2,2015-06-30,LMT
2015,2,2015-06-30,LNC
2015,2,2015-06-30,LOW
2015,2,2015-06-30,LRCX
2015,2,2015-06-30,LUV
2015,2,2015-06-30,LVLT
2015,2,2015-06-30,LYB
2015,2,2015-06-30,M
2015,2,2015-06-30,MA
2015,2,2015-06-30,MAC
2015,2,2015-06-30,MAR
2015,2,2015-06-30,MAS
2015,2,2015-06-30,MAT
2015,2,2015-06-30,MCD
2015,2,2015-06-30,MCHP
2015,2,2015-06-30,MCK
2015,2,2015-06-30,MCO
2015,2,2015-06-30,MDLZ
2015,2,2015-06-30,MDT
2015,2,2015-06-30,MET
2015,2,2015-06-30,MHK
2015,2,2015-06-30,MJN
2015,2,2015-06-30,MKC
2015,2,2015-06-30,MLM
2015,2,2015-06-30,MMC
2015,2,2015-06-30,MMM
2015,2,2015-06-30,MNK
2015,2,2015-06-30,MNST
2015,2,2015-06-30,MO
2015,2,2015-06-30,MON
2015,2,2015-06-30,MOS
2015,2,2015-06-30,MPC
2015,2,2015-06-30,MRK
2015,2,2015-06-30,MRO
2015,2,2015-06-30,MS
2015,2,2015-06-30,MSFT
2015,2,2015-06-30,MSI
2015,2,2015-06-30,MTB
2015,2,2015-06-30,MU
2015,2,2015-06-30,MUR
2015,2,2015-06-30,MWV
2015,2,2015-06-30,MYL
2015,2,2015-06-30,NAVI
2015,2,2015-06-30,NBL
2015,2,2015-06-30,NDAQ
2015,2,2015-06-30,NE
2015,2,2015-06-30,NEE
2015,2,2015-06-30,NEM
2015,2,2015-06-30,NFLX
2015,2,2015-06-30,NFX
2015,2,2015-06-30,NI
2015,2,2015-06-30,NKE
2015,2,2015-06-30,NLSN
